codi SS,descripcio SS,codi RS,descripcio RS,població oficial,prevalència,incidència
6156,Lleida,61,Lleida,365322.0,1992.0,133.0
6257,Alt Camp-Conca de Barberà,62,Camp de Tarragona,61667.0,336.0,22.0
6258,Tarragonès-Baix Penedès,62,Camp de Tarragona,350371.0,1911.0,127.0
6259,Baix Camp-Priorat,62,Camp de Tarragona,202792.0,1106.0,74.0
6360,Terres de l'Ebre,63,Terres de l'Ebre,178112.0,971.0,65.0
6461,Girona Nord,64,Girona,350890.0,1913.0,127.0
6462,Girona Sud,64,Girona,519591.0,2833.0,189.0
6735,Anoia,67,Catalunya Central,114368.0,624.0,42.0
6745,Osona,67,Catalunya Central,164343.0,896.0,60.0
6763,Solsonès-Bages-Berguedà,67,Catalunya Central,252362.0,1376.0,92.0
7107,Aran,71,Alt Pirineu i Aran,9504.0,52.0,3.0
7164,Alt Pirineu,71,Alt Pirineu i Aran,59014.0,322.0,21.0
7831,Baix Llobregat Nord,78,Barcelona,161372.0,880.0,59.0
7842,Vallès Oriental,78,Barcelona,452895.0,2470.0,164.0
7843,Vallès Occidental Oest,78,Barcelona,444952.0,2426.0,162.0
7844,Vallès Occidental Est,78,Barcelona,437463.0,2385.0,159.0
7846,Barcelona Ciutat Vella,78,Barcelona,103139.0,562.0,37.0
7847,Barcelona Sant Martí,78,Barcelona,238014.0,1298.0,86.0
7848,Barcelona Les Corts,78,Barcelona,80790.0,441.0,29.0
7849,Barcelona Sants-Montjuïc,78,Barcelona,186221.0,1015.0,68.0
7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,144425.0,788.0,52.0
7851,Barcelona Eixample,78,Barcelona,269947.0,1472.0,98.0
7852,Barcelona Gràcia,78,Barcelona,123726.0,675.0,45.0
7853,Barcelona Horta-Guinardó,78,Barcelona,172760.0,942.0,63.0
7854,Barcelona Nou Barris,78,Barcelona,173553.0,946.0,63.0
7855,Barcelona Sant Andreu,78,Barcelona,151238.0,825.0,55.0
7865,Alt Penedès-Garraf,78,Barcelona,258479.0,1409.0,94.0
7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,956859.0,5218.0,347.0
7867,Barcelonès Nord i Maresme,78,Barcelona,712900.0,3887.0,259.0
